date,weight
2019-10-17 17:50, 3.090
2019-10-20 12:00, 2.780
2019-10-31 12:00, 3.035
2019-11-03 12:00, 3.095
2019-11-05 12:00, 3.225
2019-11-11 12:00, 3.385 
2019-11-16 12:00, 3.520
2019-11-27 12:00, 3.830
2019-12-07 12:00, 4.080
2019-12-15 12:00, 4.280
2020-01-02 12:00, 4.715
